id,original_title,genres,overview,keywords,popularity,budget,original_language
1,Interstellar,Drama|Sci-Fi,"The compelling story of Interstellar, exploring themes in the Drama and Sci-Fi genre.",interstellar action drama,51,10500000,en
2,The Proposal,Comedy|Romance,"The compelling story of The Proposal, exploring themes in the Comedy and Romance genre.",the_proposal action drama,52,11000000,en
3,Inception,Sci-Fi|Thriller,"The compelling story of Inception, exploring themes in the Sci-Fi and Thriller genre.",inception action drama,53,11500000,en
4,Twilight,Romance|Horror,"The compelling story of Twilight, exploring themes in the Romance and Horror genre.",twilight action drama,54,12000000,en
5,Jurassic Park,Thriller|Adventure,"The compelling story of Jurassic Park, exploring themes in the Thriller and Adventure genre.",jurassic_park action drama,55,12500000,en
6,Pan's Labyrinth,Horror|Fantasy,"The compelling story of Pan's Labyrinth, exploring themes in the Horror and Fantasy genre.",pan's_labyrinth action drama,56,13000000,en
7,The Avengers,Adventure|Action,"The compelling story of The Avengers, exploring themes in the Adventure and Action genre.",the_avengers action drama,57,13500000,en
8,The Green Mile,Fantasy|Drama,"The compelling story of The Green Mile, exploring themes in the Fantasy and Drama genre.",the_green_mile action drama,58,14000000,en
9,Deadpool,Action|Comedy,"The compelling story of Deadpool, exploring themes in the Action and Comedy genre.",deadpool action drama,59,14500000,en
10,Arrival,Drama|Sci-Fi,"The compelling story of Arrival, exploring themes in the Drama and Sci-Fi genre.",arrival action drama,60,15000000,en
11,How to Lose a Guy in 10 Days,Comedy|Romance,"The compelling story of How to Lose a Guy in 10 Days, exploring themes in the Comedy and Romance genre.",how_to_lose_a_guy_in_10_days action drama,61,15500000,en
12,Source Code,Sci-Fi|Thriller,"The compelling story of Source Code, exploring themes in the Sci-Fi and Thriller genre.",source_code action drama,62,16000000,en
13,Crimson Peak,Romance|Horror,"The compelling story of Crimson Peak, exploring themes in the Romance and Horror genre.",crimson_peak action drama,63,16500000,en
14,The Fugitive,Thriller|Adventure,"The compelling story of The Fugitive, exploring themes in the Thriller and Adventure genre.",the_fugitive action drama,64,17000000,en
15,The Shape of Water,Horror|Fantasy,"The compelling story of The Shape of Water, exploring themes in the Horror and Fantasy genre.",the_shape_of_water action drama,65,17500000,en
16,Gladiator,Adventure|Action,"The compelling story of Gladiator, exploring themes in the Adventure and Action genre.",gladiator action drama,66,18000000,en
17,The Lord of the Rings: The Fellowship of the Ring,Fantasy|Drama,"The compelling story of The Lord of the Rings: The Fellowship of the Ring, exploring themes in the Fantasy and Drama genre.",the_lord_of_the_rings:_the_fellowship_of_the_ring action drama,67,18500000,en
18,21 Jump Street,Action|Comedy,"The compelling story of 21 Jump Street, exploring themes in the Action and Comedy genre.",21_jump_street action drama,68,19000000,en
19,Blade Runner 2049,Drama|Sci-Fi,"The compelling story of Blade Runner 2049, exploring themes in the Drama and Sci-Fi genre.",blade_runner_2049 action drama,69,19500000,en
20,Crazy Rich Asians,Comedy|Romance,"The compelling story of Crazy Rich Asians, exploring themes in the Comedy and Romance genre.",crazy_rich_asians action drama,70,20000000,en
21,Minority Report,Sci-Fi|Thriller,"The compelling story of Minority Report, exploring themes in the Sci-Fi and Thriller genre.",minority_report action drama,71,20500000,en
22,Warm Bodies,Romance|Horror,"The compelling story of Warm Bodies, exploring themes in the Romance and Horror genre.",warm_bodies action drama,72,21000000,en
23,Mad Max: Fury Road,Thriller|Adventure,"The compelling story of Mad Max: Fury Road, exploring themes in the Thriller and Adventure genre.",mad_max:_fury_road action drama,73,21500000,en
24,Hellboy,Horror|Fantasy,"The compelling story of Hellboy, exploring themes in the Horror and Fantasy genre.",hellboy action drama,74,22000000,en
25,Pirates of the Caribbean: The Curse of the Black Pearl,Adventure|Action,"The compelling story of Pirates of the Caribbean: The Curse of the Black Pearl, exploring themes in the Adventure and Action genre.",pirates_of_the_caribbean:_the_curse_of_the_black_pearl action drama,75,22500000,en
26,Big Fish,Fantasy|Drama,"The compelling story of Big Fish, exploring themes in the Fantasy and Drama genre.",big_fish action drama,76,23000000,en
27,Hot Fuzz,Action|Comedy,"The compelling story of Hot Fuzz, exploring themes in the Action and Comedy genre.",hot_fuzz action drama,77,23500000,en
28,Gattaca,Drama|Sci-Fi,"The compelling story of Gattaca, exploring themes in the Drama and Sci-Fi genre.",gattaca action drama,78,24000000,en
29,500 Days of Summer,Comedy|Romance,"The compelling story of 500 Days of Summer, exploring themes in the Comedy and Romance genre.",500_days_of_summer action drama,79,24500000,en
30,The Matrix,Sci-Fi|Thriller,"The compelling story of The Matrix, exploring themes in the Sci-Fi and Thriller genre.",the_matrix action drama,80,25000000,en
31,Only Lovers Left Alive,Romance|Horror,"The compelling story of Only Lovers Left Alive, exploring themes in the Romance and Horror genre.",only_lovers_left_alive action drama,81,25500000,en
32,North by Northwest,Thriller|Adventure,"The compelling story of North by Northwest, exploring themes in the Thriller and Adventure genre.",north_by_northwest action drama,82,26000000,en
33,Sleepy Hollow,Horror|Fantasy,"The compelling story of Sleepy Hollow, exploring themes in the Horror and Fantasy genre.",sleepy_hollow action drama,83,26500000,en
34,Mission: Impossible - Fallout,Adventure|Action,"The compelling story of Mission: Impossible - Fallout, exploring themes in the Adventure and Action genre.",mission:_impossible_-_fallout action drama,84,27000000,en
35,The Curious Case of Benjamin Button,Fantasy|Drama,"The compelling story of The Curious Case of Benjamin Button, exploring themes in the Fantasy and Drama genre.",the_curious_case_of_benjamin_button action drama,85,27500000,en
36,Rush Hour,Action|Comedy,"The compelling story of Rush Hour, exploring themes in the Action and Comedy genre.",rush_hour action drama,86,28000000,en
37,The Prestige,Drama|Sci-Fi,"The compelling story of The Prestige, exploring themes in the Drama and Sci-Fi genre.",the_prestige action drama,87,28500000,en
38,Notting Hill,Comedy|Romance,"The compelling story of Notting Hill, exploring themes in the Comedy and Romance genre.",notting_hill action drama,88,29000000,en
39,Tenet,Sci-Fi|Thriller,"The compelling story of Tenet, exploring themes in the Sci-Fi and Thriller genre.",tenet action drama,89,29500000,en
40,Bram Stoker's Dracula,Romance|Horror,"The compelling story of Bram Stoker's Dracula, exploring themes in the Romance and Horror genre.",bram_stoker's_dracula action drama,90,30000000,en
